Type,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
Sample_id,KS0001,KS0002,KS0003,KS0004,KS0005,KS0007_scarce,KS0008_scarce,KS0009,KS0010,KS0011,KS0012,KS0013,KS0014,KS0016_Lowqual,KS0017_Lowqual,KS0019,KS0021,KS0022,KS0023,KS0024,KS0025,KS0026,KS0027,KS0028,KS0029
hsa-miR-205-3p,8,33,143,44,14,0,0,7,1,1,19,2,0,1,1,4,0,19,2,2,5,2,12,7,0
hsa-miR-210-5p,0,3,1,9,0,0,0,4,6,1,1,1,0,0,2,2,4,2,6,1,3,3,0,19,0
hsa-miR-210-3p,2234,5828,3574,5121,1698,4,27,175,1034,24,2971,62,425,210,131,815,275,1553,816,291,1875,664,1224,2294,238
hsa-miR-211-5p,8,14,1095,48,23,0,0,3,5,0,18,0,3,0,0,2,4,2,12,2,9,4,9,10,3
hsa-miR-211-3p,3,2,0,10,3,0,0,1,2,0,6,0,0,0,1,3,6,0,0,0,3,0,2,7,0
hsa-miR-212-5p,3,3,45,3,1,0,0,0,8,0,32,1,0,1,1,0,0,3,3,0,4,7,11,0,2
hsa-miR-212-3p,2,2,0,0,0,2,0,0,0,0,2,0,0,5,1,0,0,1,1,0,0,0,0,8,0
hsa-miR-181a-3p,4174,5649,2776,6629,1545,7,55,576,2084,172,1860,105,888,391,392,1268,782,2154,1197,295,1045,1346,2457,680,522
hsa-miR-214-5p,263,583,111,561,94,1,5,108,180,7,137,1,82,32,31,116,42,269,88,38,54,139,84,44,28
hsa-miR-214-3p,10,7,12,8,3,0,0,4,15,1,52,6,20,0,5,18,35,13,37,6,7,3,5,0,0
hsa-miR-215-5p,6,19,14,44,3,0,2,5,12,0,11,0,0,0,2,0,7,12,17,4,12,4,25,0,0
hsa-miR-215-3p,0,0,7,0,0,0,0,0,2,0,4,1,0,4,0,0,0,2,0,0,0,0,2,0,0
hsa-miR-216a-5p,0,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0
hsa-miR-216a-3p,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-217-5p,4,8,0,26,37,0,0,1,7,1,70,3,13,0,0,0,1,4,15,0,6,11,17,5,0
hsa-miR-217-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-218-5p,0,0,0,10,2,0,0,0,1,0,2,1,0,5,3,0,0,5,0,0,2,4,2,0,0
hsa-miR-218-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-218-2-3p,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0
hsa-miR-219a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-219a-1-3p,7,16,0,18,4,0,0,2,1,0,4,1,0,0,2,6,1,8,2,0,4,5,14,4,8
hsa-miR-221-5p,195,444,92,252,124,2,4,36,193,11,263,13,70,9,43,149,62,171,133,29,55,61,115,30,27
hsa-miR-221-3p,46235,111528,33119,82975,13050,63,271,5034,20335,1864,32707,649,26175,7373,3684,22621,20089,34370,25668,7746,18648,28490,38629,23238,8459
hsa-miR-222-5p,13,48,6,52,6,0,0,8,6,0,19,0,10,0,2,2,7,18,3,2,7,9,7,0,4
hsa-miR-222-3p,139,198,89,250,109,6,8,47,191,10,305,10,116,6,44,190,140,220,203,38,74,165,170,108,63
hsa-miR-223-5p,1695,4219,1038,4709,1158,4,14,394,772,40,1170,26,556,57,135,618,443,1856,637,231,641,783,1532,454,321
hsa-miR-223-3p,62697,124334,34789,143113,35431,115,379,6768,20589,1307,33154,718,23295,7191,5846,23920,24735,74237,24643,9638,22901,29619,33084,18422,12199
hsa-miR-224-5p,8402,20244,3564,23137,3333,22,33,1257,1632,143,4318,52,1808,412,584,2220,3725,2299,1670,1150,4155,2274,7046,2941,973
hsa-miR-224-3p,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,1,0,0,0,0,0
hsa-miR-200b-5p,16,23,34,45,12,0,0,0,11,2,30,1,6,0,1,3,7,6,17,5,11,23,21,142,26
hsa-miR-200b-3p,25,33,3,36,3,0,0,0,8,4,32,2,8,2,1,16,7,23,14,3,7,14,20,89,14
hsa-let-7g-5p,919961,1638088,367041,1717231,419693,6663,19226,332449,475331,17861,481062,21320,255909,47931,79670,385734,191528,597896,359099,83529,328822,387295,376976,352966,132369
hsa-let-7g-3p,5,25,17,15,6,0,0,0,7,0,23,2,3,0,0,2,4,15,0,0,8,1,9,10,2
hsa-let-7i-5p,754002,1604742,293133,1380767,343713,13422,17535,354770,379587,14970,398538,16482,188426,46245,61338,268760,135631,426979,259378,58598,262636,312282,308006,260839,94433
hsa-let-7i-3p,115,200,135,278,73,0,0,9,46,1,112,1,12,7,6,24,25,114,21,22,39,30,38,17,37
hsa-miR-1-3p,19624,7057,12721,7601,1989,4,137,961,8631,120,3622,28,10076,147,461,2498,1641,16120,6508,2081,3028,986,6871,2611,944
hsa-miR-15b-5p,204576,357998,104926,364204,84807,152,820,7182,72338,5102,194869,6916,62779,16797,18229,58951,60011,147055,86544,28470,79278,57953,62260,46951,29433
hsa-miR-15b-3p,1709,2685,853,4178,925,1,6,56,609,35,3090,98,581,265,130,485,553,1213,710,196,705,524,501,696,247
hsa-miR-23b-5p,18,36,0,20,0,0,1,8,7,1,10,0,14,5,1,5,6,15,6,0,6,8,8,0,14
hsa-miR-23b-3p,17735,30923,8799,26842,5246,15,40,1297,10317,660,11087,184,8683,1351,2104,13630,12067,28345,8666,3693,6058,9066,8121,4004,2385
hsa-miR-27b-5p,421,859,176,669,175,5,3,30,152,9,237,6,151,7,39,153,108,225,168,38,115,181,190,98,54
hsa-miR-27b-3p,5357,10353,1726,6199,1665,21,15,350,1124,75,2147,34,1916,359,307,1677,1731,4134,1644,484,1224,2074,1996,923,457
hsa-miR-30b-5p,2899,4598,1518,5176,1053,3,11,210,1551,108,1887,70,1122,399,386,1621,1637,4215,1252,646,1063,1400,1261,786,413
hsa-miR-30b-3p,1106,2217,412,2293,460,6,9,337,387,22,394,8,465,61,67,501,344,843,369,82,426,574,822,512,105
